title;=>centrality;=>subs;=>views;=>comments;=>country;=>topics
Channels/UC8DU9tOzr6fk5AIAXDoTATA;=>1.0000;=>874;=>15510;=>0;=>null;=>null
Channels/UC8E-U-FMBxVMwEOdCnLV66A;=>1.0000;=>0;=>0;=>0;=>null;=>null
Channels/UC8f143yZQPZWUoNf_Kqjy6Q;=>1.0000;=>0;=>0;=>0;=>null;=>null
Channels/UC8FML7Q0ud8U4_GZDEE7WwQ;=>1.0000;=>1;=>0;=>0;=>null;=>null
Channels/UC8g_a0ZM6EqO4T24dl0CDIA;=>1.0000;=>18;=>624;=>0;=>null;=>null
Channels/UC8GoYI_Jym3konAlDsv9z1w;=>1.0000;=>2;=>0;=>0;=>null;=>null
Channels/UC8H_8KrujolETZ6q_NHnDrw;=>1.0000;=>238;=>14024;=>0;=>null;=>null
Channels/UC8HILPX5ldRtC2CyzYezzDg;=>1.0000;=>0;=>0;=>0;=>null;=>null
Channels/UC8hXuT9oyuy9jm6trRW945g;=>1.0000;=>3;=>0;=>0;=>null;=>null
Channels/UC8INcwrVDgKk6kGFOxMI6ew;=>1.0000;=>0;=>0;=>0;=>null;=>null
Channels/UC8JbUA88EvoqJ5p3gtIsC2Q;=>1.0000;=>5;=>242;=>0;=>null;=>null
Channels/UC8JMVicXcADDgWJtstaSRjA;=>1.0000;=>61;=>87;=>0;=>null;=>null
Channels/UC8Jxwhb-eJ6nLgvkphqNTWQ;=>1.0000;=>24;=>201;=>0;=>null;=>null
Channels/UC8kmofdHeYtuDJ1Euu2LzBA;=>1.0000;=>751;=>50355;=>0;=>null;=>null
Channels/UC8kYBd37wYI2R94Esj7n1RA;=>1.0000;=>0;=>5;=>0;=>null;=>null
Channels/UC8l9m4NikRN3q65fS1sBVEQ;=>1.0000;=>3550;=>421683;=>0;=>null;=>null
Channels/UC8LeTyMaSNskzLEXrjg0a8w;=>1.0000;=>0;=>0;=>0;=>null;=>null
Channels/UC8lQ_ixi4JmEY5J5ofAhUjg;=>1.0000;=>0;=>0;=>0;=>null;=>null
Channels/UC8mgOmrwX7KRlvoMuxR2byw;=>1.0000;=>0;=>0;=>0;=>null;=>null
Channels/UC8N0a_3AoDduglcgTUG8yAQ;=>1.0000;=>0;=>37;=>0;=>null;=>null
Channels/UC8n2xBgTuLlCbjxaWjOb6mA;=>1.0000;=>2;=>0;=>0;=>null;=>null
Channels/UC8NC_IjNJVc35hPwCHS4qVA;=>1.0000;=>0;=>1;=>0;=>null;=>null
Channels/UC8PqOFUrrWQ9QRsG5zEMzHQ;=>1.0000;=>165;=>2544;=>0;=>null;=>null
Channels/UC8PZYrEzmzBUrWstnql-qJg;=>1.0000;=>0;=>0;=>0;=>null;=>null
Channels/UC8q0ES7CuO0dwXrYenR8Ggw;=>1.0000;=>1;=>17;=>0;=>null;=>null
Channels/UC8rEHzAMpXZCqO5dSNXI_5g;=>1.0000;=>0;=>0;=>0;=>null;=>null
Channels/UC8rK8MXRd9fdUJGA4Tg94OQ;=>1.0000;=>19;=>0;=>0;=>null;=>null
Channels/UC8rkC4-LKzRuvE19uQygR8w;=>1.0000;=>23;=>1514;=>0;=>null;=>null
Channels/UC8rwMRGFJ-kaM9Mlzr9QWTw;=>1.0000;=>867;=>54825;=>0;=>null;=>null
Channels/UC8RwOiar8BLTcWV3YPEqSmA;=>1.0000;=>0;=>0;=>0;=>null;=>null
Channels/UC8S9X5JOdCl7vDcSVziK-rQ;=>1.0000;=>119;=>15797;=>0;=>null;=>null
Channels/UC8sGuopeQNS0-2cmasKF5Tg;=>1.0000;=>0;=>0;=>0;=>null;=>null
Channels/UC8sqE60hruE3fxXo_tdzE3Q;=>1.0000;=>0;=>0;=>0;=>null;=>null
Channels/UC8SS_dChQddnQaNd_NoH3ag;=>1.0000;=>0;=>0;=>0;=>null;=>null
Channels/UC8Sxm7ysv2XZEJSqiXQXPaQ;=>1.0000;=>1560;=>184193;=>0;=>null;=>null
Channels/UC8ujjJX2bxA-Vnv789cqYsg;=>1.0000;=>0;=>0;=>0;=>null;=>null
Channels/UC8UrscyWd3N-kXV0Ddn0ptw;=>1.0000;=>2;=>36;=>0;=>null;=>null
Channels/UC8uykmUlsGvug5_vJlNDV4Q;=>1.0000;=>3;=>0;=>0;=>null;=>null
Channels/UC8wDHYtP7oOSGK7Vpnh325w;=>1.0000;=>0;=>0;=>0;=>null;=>null
Channels/UC8WG1jxOUjLGH4OKAa5KHWQ;=>1.0000;=>0;=>39357;=>0;=>null;=>null
Channels/UC8X5lAM_Gcjs8uW-MPluqKw;=>1.0000;=>84;=>0;=>0;=>null;=>null
Channels/UC8x7EETG6uNn0cWXCcOPkaA;=>1.0000;=>3;=>109;=>0;=>null;=>null
Channels/UC8XJAVa6O9wuCKlmrUxtorg;=>1.0000;=>554;=>0;=>0;=>null;=>null
Channels/UC8XmEAEGxph6DQksCwcVHeQ;=>1.0000;=>5;=>0;=>0;=>null;=>null
Channels/UC8xMif_kO3l6-wx_zF3yY5w;=>1.0000;=>9;=>194;=>0;=>null;=>null
Channels/UC8xNRelu7T1cakB3wSzx_Vw;=>1.0000;=>1;=>0;=>0;=>null;=>null
Channels/UC8XsqsyFw-LJl7XH57uwl4w;=>1.0000;=>5;=>0;=>0;=>null;=>null
Channels/UC8yjcleTyX6EvG644FTAbTg;=>1.0000;=>0;=>0;=>0;=>null;=>null
Channels/UC8Ys8AGBMW0LQp1sIizEhxw;=>1.0000;=>27;=>0;=>0;=>null;=>null
Channels/UC8ZusZWqiE6lldVAPeBuppw;=>1.0000;=>0;=>0;=>0;=>null;=>null
Channels/UC9-P2oRfVRokTYzqkHqjpUw;=>1.0000;=>0;=>0;=>0;=>null;=>null
Channels/UC9-xMRjb9u1mC7XdXr-oRcw;=>1.0000;=>11;=>0;=>0;=>null;=>null
Channels/UC903puHviD2bOnTuvtiXxgw;=>1.0000;=>8;=>890;=>0;=>null;=>null
Channels/UC90CzH5K_ZvP--1f2Pe874w;=>1.0000;=>0;=>0;=>0;=>null;=>null
Channels/UC90OzXunYTtOUChRYkJtHNA;=>1.0000;=>2470;=>608600;=>0;=>null;=>null
Channels/UC94pkMM3vUQeSfTO9wwN5tw;=>1.0000;=>95;=>214;=>0;=>null;=>null
Channels/UC94ScSwYI2_gQbagr69RHEg;=>1.0000;=>2;=>0;=>0;=>null;=>null
Channels/UC95rXFpMX8G1cpi-NH9sWsA;=>1.0000;=>0;=>0;=>0;=>null;=>null
Channels/UC95vgWJdp2GRVEyB9GmP-4Q;=>1.0000;=>0;=>0;=>0;=>null;=>null
Channels/UC96g-tkHRQmPIaiRArtLqNA;=>1.0000;=>47;=>0;=>0;=>null;=>null
Channels/UC971diBqCoQigvfRU-YoEvg;=>1.0000;=>2;=>26;=>0;=>null;=>null
Channels/UC97yR4iWplm6Fcd6jt_TW8g;=>1.0000;=>0;=>0;=>0;=>null;=>null
Channels/UC98GAKbPV17AQRRMqwOPbrQ;=>1.0000;=>526;=>8315;=>0;=>null;=>null
Channels/UC998AXFc0EntliiCgmQ9AKA;=>1.0000;=>1;=>0;=>0;=>null;=>null
Channels/UC9a3e5-6iDFTTCR8QokOEfQ;=>1.0000;=>0;=>0;=>0;=>null;=>null
Channels/UC9AeoiSmB6pWE8r7T613gZg;=>1.0000;=>709;=>91497;=>0;=>null;=>null
Channels/UC9AsNdZszXe6BIJdYHiP5QQ;=>1.0000;=>0;=>0;=>0;=>null;=>null
Channels/UC9aUJYVeSZoRhRv4VXl754A;=>1.0000;=>4;=>0;=>0;=>null;=>null
Channels/UC9Azi2bxOJXf7DR1_zDNzzw;=>1.0000;=>2;=>0;=>0;=>null;=>null
Channels/UC9b3dKwh91o44h_BM9np8Ig;=>1.0000;=>2;=>7;=>0;=>null;=>null
Channels/UC9BaSR09zRT8eN9_9ObqXMA;=>1.0000;=>0;=>64;=>0;=>null;=>null
Channels/UC9bSWualSQ5n4hxxc7FqJtw;=>1.0000;=>0;=>0;=>0;=>null;=>null
Channels/UC9cCckVV2g5Kbl7-pkYBU3A;=>1.0000;=>13;=>636;=>0;=>null;=>null
Channels/UC9cl9hO57BxNi9O1l7BnW3g;=>1.0000;=>26;=>0;=>0;=>null;=>null
Channels/UC9CWNXmC230tyd_-1Kx38Tw;=>1.0000;=>21;=>11076;=>0;=>null;=>null
Channels/UC9D2WnMnALEFmZpib0jhcJA;=>1.0000;=>0;=>0;=>0;=>null;=>null
Channels/UC9dBiP_b3jmuv9s9cMseflA;=>1.0000;=>12;=>1179;=>0;=>null;=>null
Channels/UC9dEphCm1lzmf1rUJ-5DLoA;=>1.0000;=>6;=>71;=>0;=>null;=>null
Channels/UC9EhQCpGe0BX314MFKIp7iw;=>1.0000;=>0;=>0;=>0;=>null;=>null
Channels/UC9eQZ5hYVjVyHndcdjlUJZA;=>1.0000;=>2;=>0;=>0;=>null;=>null
Channels/UC9euW5MfslSd9Xn6xEu05Ng;=>1.0000;=>12;=>15;=>0;=>null;=>null
Channels/UC9eWksmhXjheJKpJiUy4kKg;=>1.0000;=>12;=>433;=>0;=>null;=>null
Channels/UC9fAc9YDnUmWWmJyOm5Ct6w;=>1.0000;=>0;=>0;=>0;=>null;=>null
Channels/UC9FMIqk3DqbWqX66dHRxkaw;=>1.0000;=>1;=>0;=>0;=>null;=>null
Channels/UC9GnTZARzzvXSs_1ngrdIpw;=>1.0000;=>76;=>2013;=>0;=>null;=>null
Channels/UC9gXLT1e8g-qfJvkP80sV2g;=>1.0000;=>40;=>10;=>0;=>null;=>null
Channels/UC9HVdKp5yIPYKIOuqUl2uSg;=>1.0000;=>9;=>0;=>0;=>null;=>null
Channels/UC9hwzTphfIacAl_IWeyWzEA;=>1.0000;=>0;=>0;=>0;=>null;=>null
Channels/UC9HX6ClGO10hagT7opMpFUw;=>1.0000;=>22;=>0;=>0;=>null;=>null
Channels/UC9HxavaNET0Ly7Zrzrgg4Vw;=>1.0000;=>9;=>0;=>0;=>null;=>null
Channels/UC9K5uxqqn6BL2m9RLrmVEsQ;=>1.0000;=>1140;=>57913;=>0;=>null;=>null
Channels/UC9kDLAV8R4_qSedHV7hyRCw;=>1.0000;=>3;=>82;=>0;=>null;=>null
Channels/UC9lhSg8U6PRBFgk4QMQTXPg;=>1.0000;=>2;=>0;=>0;=>null;=>null
Channels/UC9lPWUS41W6Il4_hBl9IHPg;=>1.0000;=>9;=>130;=>0;=>null;=>null
Channels/UC9lR70VrfLVsxULt_RM6G6A;=>1.0000;=>0;=>0;=>0;=>null;=>null
Channels/UC9mpL1FOWZPxXvlywnSuVow;=>1.0000;=>1;=>0;=>0;=>null;=>null
Channels/UC9MsrcPAoJhWhj10SvwGRRw;=>1.0000;=>22;=>2865;=>0;=>null;=>null
Channels/UC9NFJTnLTNUN7UMw4YsgAtQ;=>1.0000;=>0;=>0;=>0;=>null;=>null
Channels/UC9niAn4a1vrrEhqZOM2GAxA;=>1.0000;=>10;=>0;=>0;=>null;=>null
Channels/UC9npeVbCoSAgL0JKwOqWvug;=>1.0000;=>3;=>0;=>0;=>null;=>null
Channels/UC9NtZKUn8fB8Zd33Xs0k_kQ;=>1.0000;=>14;=>747;=>0;=>null;=>null
Channels/UC9nvbO4nFjGREwihso6Ux4w;=>1.0000;=>1530;=>72472;=>0;=>null;=>null
Channels/UC9nXT5bWxErLc_vJu8AJ0ng;=>1.0000;=>0;=>18;=>0;=>null;=>null
Channels/UC9OCKAaD-ujhxEOSNPxP0nQ;=>1.0000;=>94;=>11005;=>0;=>null;=>null
Channels/UC9Oeyc4ZoctnqBNxRKFC3zg;=>1.0000;=>22;=>638;=>0;=>null;=>null
Channels/UC9oRCIoxZp08IMzqHToM8Kg;=>1.0000;=>0;=>0;=>0;=>null;=>null
Channels/UC9oYyGio-CjUpNrvAcpxASA;=>1.0000;=>0;=>0;=>0;=>null;=>null
Channels/UC9P1PZ1KuSBBT5KFxBuAd1g;=>1.0000;=>0;=>0;=>0;=>null;=>null
Channels/UC9psnnNxzweioitKZzq9UXw;=>1.0000;=>43;=>1325;=>0;=>null;=>null
Channels/UC9Pt6h9Xa8xudXU5r_D5eFQ;=>1.0000;=>0;=>0;=>0;=>null;=>null
Channels/UC9REzxaLkzooOiPUMJYCegg;=>1.0000;=>0;=>0;=>0;=>null;=>null
Channels/UC9rhhpXYx4BZen4HoFBdiIA;=>1.0000;=>3090;=>426448;=>0;=>null;=>null
Channels/UC9S62pS0o0XyefGfRi3xaUA;=>1.0000;=>0;=>0;=>0;=>null;=>null
Channels/UC9S_jhqGvTksbLbCsQNJrPQ;=>1.0000;=>1;=>0;=>0;=>null;=>null
Channels/UC9sgM-0q3X519jGZE0-gQcg;=>1.0000;=>0;=>0;=>0;=>null;=>null
Channels/UC9suVZmGk2wO6n0Dz6_6xZw;=>1.0000;=>0;=>0;=>0;=>null;=>null
Channels/UC9tBmeNbet8UWyvMU3Z5BtQ;=>1.0000;=>61;=>0;=>0;=>null;=>null
Channels/UC9TnpxThRL1Dp3AHCM5t_TQ;=>1.0000;=>0;=>0;=>0;=>null;=>null
Channels/UC9vdzApDDPYCgButhtf9a8Q;=>1.0000;=>0;=>0;=>0;=>null;=>null
Channels/UC9VXGLbfHqyobXQ_w3t2o2g;=>1.0000;=>0;=>0;=>0;=>null;=>null
Channels/UC9Wx9D7lwSAViZ9819nfi-Q;=>1.0000;=>0;=>0;=>0;=>null;=>null
Channels/UC9X3q0d0hTizIs6ctteu2AA;=>1.0000;=>7;=>0;=>0;=>null;=>null
Channels/UC9xCF1cKupTrNWY0GHkbZCQ;=>1.0000;=>0;=>0;=>0;=>null;=>null
Channels/UC9xIluchRPPMw9cAZJxtTlg;=>1.0000;=>0;=>3;=>0;=>null;=>null
Channels/UC9xMgRMX-9Ve9oRnZ4SdDSg;=>1.0000;=>0;=>14730;=>0;=>null;=>null
Channels/UC9xsCnW1GInHk_xRV5sR8vg;=>1.0000;=>196;=>7679;=>0;=>null;=>null
Channels/UC9Yjrc9psQQGhVzJvIvhocg;=>1.0000;=>4;=>146;=>0;=>null;=>null
Channels/UC9Yqx1EgWw4RICM0pIGquGw;=>1.0000;=>0;=>15;=>0;=>null;=>null
Channels/UC9yvDpZonq9-Zhf4Asb8jNw;=>1.0000;=>11;=>205;=>0;=>null;=>null
Channels/UC9Z3FYS4epd-6ImbSty5GWw;=>1.0000;=>49;=>708;=>0;=>null;=>null
Channels/UC9ZTpZlCqhIbc8PLSrx5Vaw;=>1.0000;=>3;=>0;=>0;=>null;=>null
Channels/UC_0ufMHrkVpqyj6FDRI0PqQ;=>1.0000;=>0;=>0;=>0;=>null;=>null
Channels/UC_1IY56eP3qhjy0LoG5t4mQ;=>1.0000;=>0;=>0;=>0;=>null;=>null
Channels/UC_3Mm1wBfuUBms231xyLMJg;=>1.0000;=>0;=>6;=>0;=>null;=>null
Channels/UC_6G6sfM1Gq3kgAIV2fOB9w;=>1.0000;=>2850;=>39964;=>0;=>null;=>null
Channels/UC_6MOppadCwQbuXBoxR9flw;=>1.0000;=>5;=>115;=>0;=>null;=>null
Channels/UC_6Tkw8L51KIEgDViQvns7A;=>1.0000;=>4;=>0;=>0;=>null;=>null
Channels/UC_76zJX6wKhwiYXQ4vbSD7w;=>1.0000;=>0;=>0;=>0;=>null;=>null
Channels/UC_7oQ9Z723J0FUCnSKT2-Mg;=>1.0000;=>87;=>0;=>0;=>null;=>null
Channels/UC_7x80WklO8c61eTytxFtpQ;=>1.0000;=>0;=>0;=>0;=>null;=>null
Channels/UC_7yTFyC801ZZd8mYX6t8-g;=>1.0000;=>1;=>2;=>0;=>null;=>null
Channels/UC_8jTVOFcXkgJmNGxY_SlLA;=>1.0000;=>37;=>0;=>0;=>null;=>null
Channels/UC_9pwr_lWnQ3pQd_pHq5YBQ;=>1.0000;=>4080;=>867306;=>0;=>null;=>null
Channels/UC__9rTAUp04BMWk2KNIzQPw;=>1.0000;=>9;=>0;=>0;=>null;=>null
Channels/UC__9StfaHopptFUaS7tGCbw;=>1.0000;=>8;=>0;=>0;=>null;=>null
Channels/UC__YkGoLsZHvQ4kDd2V5b8Q;=>1.0000;=>22;=>9035;=>0;=>null;=>null
Channels/UC_AUwQJvvBhmbot_hdBUVTA;=>1.0000;=>1;=>0;=>0;=>null;=>null
Channels/UC_b7EoLhNdtz57x_v3ubZSw;=>1.0000;=>8;=>0;=>0;=>null;=>null
Channels/UC_b9_dKIs94qMiD2UmL8CgA;=>1.0000;=>11;=>0;=>0;=>null;=>null
Channels/UC_C5IpeEm9GsEEYTclOQjbw;=>1.0000;=>0;=>0;=>0;=>null;=>null
Channels/UC_cUnExBWUrwWWuIqrFEcSw;=>1.0000;=>0;=>0;=>0;=>null;=>null
Channels/UC_Dg9OznnKzGfOc0wKlDHSQ;=>1.0000;=>0;=>0;=>0;=>null;=>null
Channels/UC_DN7z9EGZXtpbA2qayb4Ng;=>1.0000;=>2700;=>2963457;=>0;=>null;=>null
Channels/UC_egIAZrDI0s2EewDLeGGbQ;=>1.0000;=>0;=>0;=>0;=>null;=>null
Channels/UC_EK9uRXFVTEsQDFQZa-Gjw;=>1.0000;=>64;=>2128;=>0;=>null;=>null
Channels/UC_ELr66leVeZjSaZirGS6ZA;=>1.0000;=>0;=>0;=>0;=>null;=>null
Channels/UC_Em5WVH1jVAPVmAVyBxWTg;=>1.0000;=>557;=>23156;=>0;=>null;=>null
Channels/UC_Es79p5960n1Bp2zpqOlYA;=>1.0000;=>3;=>0;=>0;=>null;=>null
Channels/UC_eSgkC1D6uOth9BKHgbxeA;=>1.0000;=>3;=>10;=>0;=>null;=>null
Channels/UC_EW2Fo0SF-YJYQ0kB12Gpw;=>1.0000;=>0;=>0;=>0;=>null;=>null
Channels/UC_fLlFxjMWsVB0JwTs0FJnw;=>1.0000;=>0;=>0;=>0;=>null;=>null
Channels/UC_FPQugN6JN0vKOwnMqv-VA;=>1.0000;=>4;=>4;=>0;=>null;=>null
Channels/UC_hiytQRDI8SlOxNqsAemTQ;=>1.0000;=>0;=>0;=>0;=>null;=>null
Channels/UC_HQPu1S_Q8k4azDN3_8Ivw;=>1.0000;=>1;=>0;=>0;=>null;=>null
Channels/UC_Ht8bhi6S4h3wwzlQaH-iA;=>1.0000;=>1;=>0;=>0;=>null;=>null
Channels/UC_IsPkW3BbQWf_9txSbXuow;=>1.0000;=>6;=>245;=>0;=>null;=>null
Channels/UC_iTsqM1BFgrsVroBoUwxkg;=>1.0000;=>1;=>0;=>0;=>null;=>null
Channels/UC_iy-zksq-hFuCnq3EDHdxg;=>1.0000;=>6;=>3337;=>0;=>null;=>null
Channels/UC_Jbedf13PfmazUYHGzfsew;=>1.0000;=>1;=>0;=>0;=>null;=>null
Channels/UC_jGfQxxCh5D-WF3eh35cjQ;=>1.0000;=>0;=>0;=>0;=>null;=>null
Channels/UC_k4KBEAPIkG8w5q5xLDqrA;=>1.0000;=>27;=>682;=>0;=>null;=>null
Channels/UC_KiAaPkXh_QPN_yMZ9MTwA;=>1.0000;=>1;=>15;=>0;=>null;=>null
Channels/UC_KzqKJAmG-BIw17FcJ2GQA;=>1.0000;=>2;=>255;=>0;=>null;=>null
DIY Mommy and Kids;=>1.0000;=>246000;=>101671298;=>0;=>null;=>https://en.wikipedia.org/wiki/Lifestyle_(sociology),https://en.wikipedia.org/wiki/Food,https://en.wikipedia.org/wiki/Hobby
Channels/UC_MAZUjELQi1qLe2sRHJp1g;=>1.0000;=>592;=>0;=>0;=>null;=>null
Channels/UC_mz_J1hQM8vgiGBHcoyW9g;=>1.0000;=>1;=>0;=>0;=>null;=>null
Channels/UC_N0yTvI-EJk2LfkYXu5i0g;=>1.0000;=>10;=>18;=>0;=>null;=>null
Channels/UC_N4qdJHZI8XRPTuatkBcBA;=>1.0000;=>0;=>0;=>0;=>null;=>null
Channels/UC_nJiwz3bUL2CBjPiegSsYg;=>1.0000;=>0;=>0;=>0;=>null;=>null
Channels/UC_NX3bVoJa6G8bmxYp_FYUg;=>1.0000;=>3;=>0;=>0;=>null;=>null
Channels/UC_ORo3OQyK662j5-qlqzOYg;=>1.0000;=>28;=>1012;=>0;=>null;=>null
Channels/UC_oS9iw637kMqq56k0oQe3g;=>1.0000;=>9;=>3;=>0;=>null;=>null
Channels/UC_PP4eNgzhThf08skclVLGA;=>1.0000;=>1;=>0;=>0;=>null;=>null
Channels/UC_PpR5hB_plqaoqBp5TItGg;=>1.0000;=>1260;=>687213;=>0;=>null;=>null
Channels/UC_q9RgMlQeEjq28Cadc0yyw;=>1.0000;=>3;=>64;=>0;=>null;=>null
Channels/UC_qSSYnX1W-O8NizLu1mRww;=>1.0000;=>0;=>0;=>0;=>null;=>null
Channels/UC_rEWyr50UvqHT5IJjcGjew;=>1.0000;=>638;=>5289;=>0;=>null;=>null
Channels/UC_rnkp3ZIwNIYrteCqHHQNg;=>1.0000;=>2;=>0;=>0;=>null;=>null
Channels/UC_s8RaLipGAVnv-J5ngOpjA;=>1.0000;=>2290;=>927394;=>0;=>null;=>null
Channels/UC_SgPPa0sy55MnuHlKfXZyQ;=>1.0000;=>0;=>0;=>0;=>null;=>null
Channels/UC_StpSyieETIMD8sdvERC2A;=>1.0000;=>0;=>0;=>0;=>null;=>null
Channels/UC_sZRQtVr-oO5MkE_1kCA-Q;=>1.0000;=>1870;=>1175;=>0;=>null;=>null
Channels/UC_t_565xxIlgsMiGRrr77Pw;=>1.0000;=>6;=>0;=>0;=>null;=>null
Channels/UC_TyNHtCAwSm-MsXKfop5MA;=>1.0000;=>187;=>9051;=>0;=>null;=>null
Channels/UC_U3TBqbuZWS42-9ZT7qCow;=>1.0000;=>40;=>2856;=>0;=>null;=>null
Channels/UC_Ub4v9YYPKB0vh4rbKMfHA;=>1.0000;=>0;=>0;=>0;=>null;=>null
Channels/UC_UM5cG-ZhkNXerQR0qTKUQ;=>1.0000;=>1;=>0;=>0;=>null;=>null
Channels/UC_UVtZn9gcZpmJ8ExQOnmCg;=>1.0000;=>2;=>72;=>0;=>null;=>null
Channels/UC_V_Zn37Dj84Y8P9F4W-u5Q;=>1.0000;=>0;=>0;=>0;=>null;=>null
Channels/UC_vxULCralEK8JXUctrXJhg;=>1.0000;=>0;=>0;=>0;=>null;=>null
Channels/UC_vZxAxW2uU3hjSrNruJPlA;=>1.0000;=>2;=>0;=>0;=>null;=>null
Channels/UC_wEaOOUVcuWIj6AIWr9gzw;=>1.0000;=>8;=>87;=>0;=>null;=>null
Channels/UC_WjuPA7MgmNfWqFqXvZIow;=>1.0000;=>3;=>0;=>0;=>null;=>null
Channels/UC_wPULUFPyoAHGiNplGZn_g;=>1.0000;=>1;=>0;=>0;=>null;=>null
Channels/UC_XfRE2jGTnyqlH4NSDZcbA;=>1.0000;=>4;=>649;=>0;=>null;=>null
Channels/UC_XSsFGbR-CRlqNFV0NOICA;=>1.0000;=>0;=>0;=>0;=>null;=>null
Channels/UC_XYGHK_JOraUTFGZTvnCYA;=>1.0000;=>221;=>595;=>0;=>null;=>null
Channels/UC_Y0WTdhJXIsfeTSLrkVKhg;=>1.0000;=>0;=>0;=>0;=>null;=>null
Channels/UC_Yp1Wz9lrGdMPb_WEQNHIA;=>1.0000;=>2530;=>310958;=>0;=>null;=>null
Channels/UC_zHUolVklxCnJ9nCIiANTA;=>1.0000;=>7;=>63;=>0;=>null;=>null
Channels/UCa-Rjg1TW0tSHukNtBdVJaQ;=>1.0000;=>39;=>591;=>0;=>null;=>null
Channels/UCA-tur_QJhhKP34Y9-qhe6g;=>1.0000;=>0;=>0;=>0;=>null;=>null
Channels/UCa-zVU--TavOXrqV2MnPUmQ;=>1.0000;=>41;=>600;=>0;=>null;=>null
Channels/UCa0_lLg9DsgSPgcNxYDtDXQ;=>1.0000;=>0;=>0;=>0;=>null;=>null
Channels/UCa0EtNzy8THYYgksTdN3ZBQ;=>1.0000;=>2;=>104;=>0;=>null;=>null
Channels/UCa0iBMdWNx2JLbWaEUefhgQ;=>1.0000;=>0;=>0;=>0;=>null;=>null
Channels/UCA1pJbc8QqDqD7B0ocLUgoA;=>1.0000;=>0;=>0;=>0;=>null;=>null
Channels/UCa2FxhsHcSuH7w-XnNizPgw;=>1.0000;=>1;=>0;=>0;=>null;=>null
Channels/UCA2tKGJnkOwj1zIQEO_sb_w;=>1.0000;=>1;=>0;=>0;=>null;=>null
Channels/UCa2WyddPyK1NlByv_BInB5g;=>1.0000;=>2;=>14;=>0;=>null;=>null
Channels/UCa3gnFge6Q45PHp9qHOR-ng;=>1.0000;=>2;=>0;=>0;=>null;=>null
Channels/UCA3Iazd8CRH8_DE6by-F9hQ;=>1.0000;=>0;=>9;=>0;=>null;=>null
Channels/UCA3srri8nv_i7Fa8OjQiklw;=>1.0000;=>2;=>18;=>0;=>null;=>null
Channels/UCa49UlFmNJdz_RTII-0tI1A;=>1.0000;=>1;=>0;=>0;=>null;=>null
Channels/UCa59ryFEFKv5BuytQyTAYCg;=>1.0000;=>0;=>0;=>0;=>null;=>null
Channels/UCa5MQIiP08ajd8IEZ0Bs7ww;=>1.0000;=>9;=>74;=>0;=>null;=>null
Channels/UCa5RBCyANI0BTGBVofJDLgQ;=>1.0000;=>343;=>3566;=>0;=>null;=>null
Channels/UCa5UYpbY-1OyyOIZYyeCrAg;=>1.0000;=>2;=>0;=>0;=>null;=>null
Channels/UCA6BBcBg99DjwANc7mzUfXg;=>1.0000;=>9;=>2;=>0;=>null;=>null
Channels/UCA6FIkrSrjPiUL3uAjJURfQ;=>1.0000;=>17;=>198;=>0;=>null;=>null
Channels/UCA6PQ_v90UOX0I-uzUwAr_Q;=>1.0000;=>0;=>0;=>0;=>null;=>null
Channels/UCa6wRpIdlE-iRC9DtqTTSAg;=>1.0000;=>32;=>259;=>0;=>null;=>null
Channels/UCA6ZQNUU_hTjMTb5P90SnHA;=>1.0000;=>1;=>35;=>0;=>null;=>null
Channels/UCA7CEp0w57leJxLUy3D-Mcg;=>1.0000;=>4;=>33;=>0;=>null;=>null
Channels/UCa7PY39ir9OjHCSF3Tj923w;=>1.0000;=>0;=>0;=>0;=>null;=>null
Channels/UCa7SksEnSIJqM-7NL1LVvvQ;=>1.0000;=>0;=>0;=>0;=>null;=>null
Channels/UCA7STJIvwZWNhmxLDrx4Zjw;=>1.0000;=>1;=>9;=>0;=>null;=>null
Channels/UCA7y57wtPV-WleJuty4WLlg;=>1.0000;=>0;=>0;=>0;=>null;=>null
Channels/UCa8qUfnjOTPnseP3fbjJ-qA;=>1.0000;=>48;=>3316;=>0;=>null;=>null
Channels/UCa8tEIkG1dmqmvEFR0x_kxw;=>1.0000;=>2;=>96;=>0;=>null;=>null
Channels/UCA9-SQp93PQ3hWPagDTbtJw;=>1.0000;=>1;=>25;=>0;=>null;=>null
Channels/UCA9bnd2yCMXhCzhlV-GXmGg;=>1.0000;=>18;=>634;=>0;=>null;=>null
Channels/UCa_C7FWvZ9VNUCVnjOzKHaw;=>1.0000;=>0;=>0;=>0;=>null;=>null
Channels/UCA_jIowdWyjNyGLnN7aCMKg;=>1.0000;=>0;=>0;=>0;=>null;=>null
Channels/UCAA3--gnf5P4ilOWZQ3mh1Q;=>1.0000;=>1;=>0;=>0;=>null;=>null
Channels/UCAaDqJW0KG0qFOg6m5s5JQA;=>1.0000;=>1;=>0;=>0;=>null;=>null
Channels/UCAafThIDzbDeL8-sXcJDOTg;=>1.0000;=>1;=>0;=>0;=>null;=>null
Channels/UCaaIGbYhIu3wPRz5yeRHhSQ;=>1.0000;=>57;=>443;=>0;=>null;=>null
Channels/UCaARo81foMFtN-RauZnkm_g;=>1.0000;=>11;=>0;=>0;=>null;=>null
Channels/UCAAXiZSe0ISnCgXXW8fP4Jg;=>1.0000;=>17;=>2990;=>0;=>null;=>null
